Variant ID;Chromosome;Position;Detection method;Data set;Variant type;Length (bp);TE;Frequency;P-value*;Effect+;Gene(s) in 2 Kb proximity;Gene(s) coordiantes;Position(s) respect the gene(s);Overlapping Related QTL in SNP-seek
INS:1:2022608..2022608;1;2022608;GLM;SVs;SV;49;-;0.153;0.00000122;-0.337;Os01g0137700 (conserved hypothetical);chr01:2023879..2026177 (+ strand);Upstream;No
INS:1:6774793..6774793;1;6774793;GLM;SVs;SV;120;-;0.215;0.000000588;-0.278;Os01g0223700 (OsSDRLK68);chr01:6774202..6776856 (- strand);3' UTR;No
SNP:1:18618707;1;18618707;BLINK;SVs+SNPs;SNP;1;-;0.104;4.64E-12;-;-;-;-;No
SNP:1:22069120;1;22069120;BLINK;SVs+SNPs;SNP;1;-;0.092;0.000000109;-;-;-;-;No
INS:1:31868180..31868180;1;31868180;BLINK;SVs;SV;321;-;0.307;0.000000173;-;-;-;-;No
SNP:1:32106720;1;32106720;BLINK;SVs+SNPs;SNP;1;-;0.331;2.52E-12;-;Os01g0763200 (OsTCP5);chr01:32106876..32109742 (- strand);Downstream;No
SNP:2:8025341;2;8025341;GLM;SNPs;SNP;1;-;0.141;4.86E-09;-0.489;-;-;-;Yes
SNP:2:8553721;2;8553721;BLINK;SVs+SNPs;SNP;1;-;0.184;1.36E-19;-;-;-;-;Yes
SNP:2:15558949;2;15558949;BLINK;SVs+SNPs;SNP;1;-;0.104;9.35E-14;-;"Os02g0463500 (OsSCP7); Os02g0463725 (Conserved hypothetical)";"chr02:15549318..15558300 (- strand); chr02:15560186..15561859 (+ strand)";"Upstream; Upstream";No
SNP:2:19463724;2;19463724;BLINK;SVs+SNPs;SNP;1;-;0.073;3.39E-12;-;Os02g0529800 (OsCYP71Z5/OsCYP71Z4);chr02:19459224..19463361 (- strand);"Upstream; Downstream";No
SNP:3:2102644;3;2102644;BLINK;SVs+SNPs;SNP;1;-;0.227;1.43E-15;-;"Os03g0138000 (Conserved hypothetical); Os03g0138100 (Similar to RNA recognition motif family protein)";"chr03:2097607..2101999 (+ strand); chr03:2103191..2112148 (-strand)";"Downstream; Downstream";No
SNP:3:2923811;3;2923811;GLM;SVs+SNPs;SNP;1;-;0.313;0.000000108;0.311;"Os03g0152900 (Similar to RNA recognition motif family protein); Os03g0153000 (Similar to cDNA clone)";"chr03:2913921..2922883 (+ strand); chr03:2922849..2924744 (- strand)";"Downstream; 1st intron";No
SNP:3:2961428;3;2961428;GLM;SNPs, SVs+SNPs;SNP;1;-;0.301;0.000000107;0.287;"Os03g0153900 (Aromatic-ring hydroxylase family protein); Os03g0154000 (Aromatic-ring hydroxylase family protein)";chr03:2958312..2960398 (+ strand);"Downstream;  Upstream";No
DEL:3:7852323..7852367;3;7852323;BLINK;SVs+SNPs;SV;-44;-;0.73;5.56E-39;-;Os03g0248600 (OsEno2);chr03:7847997..7852714 (- strand);1st intron;No
SNP:3:7897783;3;7897783;BLINK;SNPs;SNP;1;-;0.282;3.68E-08;-;-;-;-;No
SNP:3:9909013;3;9909013;BLINK;SVs+SNPs;SNP;1;-;0.031;6.83E-08;-;-;-;-;Yes
DEL:3:16368307..16368347;3;16368307;BLINK;SVs;SV;-40;-;0.503;4.67E-16;-;-;-;-;Yes
SNP:3:16686122;3;16686122;BLINK;SVs+SNPs;SNP;1;-;0.436;1.53E-20;-;-;-;-;Yes
SNP:3:16733441;3;16733441;BLINK;SNPs;SNP;1;-;0.479;9.73E-11;-;Os03g0407400 (OsGS3);chr03:16729501..16735109 (- strand);2nd exon;Yes
INS:3:35747985..35747985;3;35747985;BLINK;SVs;SV;198;-;0.135;0.000000314;-;"Os03g0849700 (OsPLS24); Os03g0849750 (hypothetical)";"chr03:35741831..35748174 (+ strand); chr03:35744790..35746376 (- strand)";"3' UTR; Upstream";No
SNP:4:2043369;4;2043369;BLINK;SNPs;SNP;1;-;0.423;0.000000145;-;-;-;-;No
SNP:5:6722359;5;6722359;BLINK;SVs+SNPs;SNP;1;-;0.472;6.07E-21;-;"Os05g0208500 (OsGA2ox10); Os05g0208550 (OsGA2ox10)";"chr05:6721756..6723481 (-strand); chr05:6721224..6727270 (- strand)";"2nd intron; 3' UTR";No
INS:5:6921683..6921683;5;6921683;BLINK;SVs;SV;650;Os0260;0.38;4.03E-10;-;-;-;-;No
DEL:6:6615400..6615979;6;6615400;BLINK;SVs;SV;-579;Os1169;0.031;7.44E-09;-;Os06g0227500 (OsGSTU38);chr06:6613117..6613440 (+ strand);Downstream;No
SNP:6:12076142;6;12076142;BLINK;SNPs;SNP;1;-;0.19;3.18E-10;-;Os06g0314501 (Conserved hypothetical);chr06:12076313..12079453 (- strand);Downstream;No
SNP:6:26883174;6;26883174;BLINK;SVs+SNPs;SNP;1;-;0.086;2.14E-11;-;-;-;-;No
INS:7:2832575..2832575;7;2832575;BLINK;SVs;SV;64;-;0.344;0.000000213;-;-;-;-;No
DEL:7:9920752..9920807;7;9920752;BLINK;SVs;SV;-55;-;0.209;0.0000002;-;-;-;-;No
DEL:8:4745552..4745792;8;4745552;GLM;SVs;SV;-240;Os0181;0.35;0.000000513;-0.333;-;-;-;No
INS:8:5349191..5349191;8;5349191;GLM;SVs;SV;272;Os0075;0.344;0.000000166;-0.343;Os08g0191400 (hypothetical);chr08:5349923..5350343 (+ strand);Upstream;No
DEL:8:18849241..18849305;8;18849241;BLINK;SVs;SV;-64;-;0.11;0.000000196;-;Os08g0396500 (hypothetical conserved);chr08:18849616..18852819 (- strand);Downstream;No
INS:8:20978947..20978947;8;20978947;BLINK;SVs;SV;84;-;0.417;7.51E-10;-;Os08g0432800 (OsbHLH38);chr08:20974277..20977254 (- strand);Upstream;No
SNP:8:28161286;8;28161286;BLINK;SVs+SNPs;SNP;1;-;0.147;3.46E-09;-;Os08g0562500 (OsSLG);chr08:28162972..28165305 (- strand);Downstream;No
SNP:9:12045267;9;12045267;BLINK;SVs+SNPs;SNP;1;-;0.037;7.58E-18;-;-;-;-;No
SNP:9:12813365;9;12813365;GLM;SNPs;SNP;1;-;0.092;3.85E-08;-0.447;-;-;-;No
INS:10:10281529..10281529;10;10281529;BLINK;SVs;SV;203;-;0.037;1.71E-08;-;Os10g0344800 (Similar to Phosphoglycerate mutase family protein);chr10:10278806..10283435 (- strand);4th intron;No
SNP:12:3456076;12;3456076;BLINK;SVs+SNPs;SNP;1;-;0.472;1.48E-09;-;Os12g0168400 (OsDjA11);chr12:3455590..3463006 (+ strand);3rd intron;Yes
