Variant ID;Chromosome;Position;Detection method;Data set;Variant type;Length (bp);TE;Frequency;P-value*;Effect+;Gene(s) in 2 Kb proximity;Gene(s) coordiantes;Position(s) respect the gene(s);Overlapping Related QTL in SNP-seek
SNP:5:4784703;5;4784703;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;1.54228E-10;-0.141519781;Os05g0179800 (Similar to BRI1-KD interacting protein 128 (Fragment));chr05:4786594..4789658 (+ strand);Upstream;No
SNP:5:4824731;5;4824731;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;9.31E-12;-0.140172648;-;-;-;No
SNP:5:4841119;5;4841119;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;1.00897E-08;0.141473075;Os05g0180500 (OsFLZ17);chr05:4837556..4839806 (- strand);Upstream;No
SNP:5:4847921;5;4847921;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;1.73E-09;0.145401339;-;-;-;No
SNP:5:4877114;5;4877114;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;6.3961E-12;-0.155216842;"Os05g0181000 (Heat shock protein Hsp70 family protein); Os05g0181100 (Glutamate dehydrogenase)";"chr05:4877623..4883589 (+ strand); chr05:4877800..4883171 (- strand)";"Upstream; Downstream";No
SNP:5:4897155;5;4897155;GLM;SNPs, SVs+SNPs;SNP;1;-;0.46;1.62E-08;0.12746133;Os05g0181300 (Conserved hypothetical);chr05:4895311..4895815 (+ strand);Downstream;No
SNP:5:4928385;5;4928385;GLM;SNPs, SVs+SNPs;SNP;1;-;0.466;5.01E-13;0.158950867;Os05g0181700 (Conserved hypothetical);chr05:4926710..4927411 (+ strand);Downstream;No
SNP:5:4934714;5;4934714;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;1.02E-11;-0.136398056;"Os05g0181902 (Similar to ribosomal protein S19); Os05g0182000 (Similar to late embryogenesis abundant protein)";"chr05:4935434..4935797 (+ strand); chr05:4936626..4937468 (- strand)";"Upstream; Downstream";No
SNP:5:4952073;5;4952073;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;3.27324E-09;0.12915098;Os05g0182201 (Similar to bifunctional protein tilS/hprT);chr05:4947693..4951874 (- strand);Upstream;No
SNP:5:4981384;5;4981384;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;9.98193E-15;-0.176502151;Os05g0182800 (Glutaminyl-tRNA synthetase, class Ic domain containing protein);;2nd intron;No
SNP:5:5085905;5;5085905;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;3.23E-11;-0.150757564;-;-;-;No
SNP:5:5162800;5;5162800;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;2.84E-11;0.150141173;"Os05g0184250 (Hypothetical); Os05g0184500 (OsHARBI1-12)";"chr05:5150266..5162222 (- strand); chr05:5150298..5162372 (+ strand)";"Upstream; Downstream";No
SNP:5:5178097;5;5178097;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;8.75E-11;0.132362804;-;-;-;No
SNP:5:5183134;5;5183134;GLM;SNPs, SVs+SNPs;SNP;1;-;0.515;7.63E-12;-0.141969315;Os05g0185767 (Hypothetical);chr05:5180932..5185099 (- strand);3' UTR;No
INS:5:5249097..5249097;5;5249097;GLM;SVs, SVs+SNPs;SV;67;-;0.485;5.36907E-13;-0.1651161;Os05g0185650 (similar to predicted);chr05:5248548..5250036 (+ strand);1st intron;No
SNP:5:5249762;5;5249762;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;4.79E-12;0.15850561;Os05g0185650 (Similar to predicted protein);chr05:5248548..5250036 (+ strand);3' UTR;No
INS:5:5262893..5262893;5;5262893;GLM;SVs, SVs+SNPs;SV;53;-;0.485;5.36907E-13;-0.1651161;Os05g0185700 (OsPUKI);chr05:5254254..5262141 (- strand);Upstream;No
SNP:5:5264360;5;5264360;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;8.05E-12;0.148467712;-;-;-;No
SNP:5:5271059;5;5271059;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;1.32538E-10;0.142338104;Os05g0185800 (Conserved hypothetical);chr05:5267024..5270776 (+ strand);Downstream;No
DEL:5:5288442..5288484;5;5288442;GLM;SVs, SVs+SNPs;SV;-42;-;0.485;5.36907E-13;-0.1651161;-;-;-;No
SNP:5:5288637;5;5288637;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;1.19E-11;0.152440012;-;-;-;No
INS:5:5293499..5293499;5;5293499;GLM;SVs, SVs+SNPs;SV;57;-;0.485;5.36907E-13;-0.1651161;"Os05g0186300 (OscytME2); Os05g0186601 (hypothetical)";"chr05:5293558..5297417 (- strand); chr05:5293921..5294794 (+ strand)";"Downstream; Upstream";No
SNP:5:5298822;5;5298822;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;9.2E-09;0.129846647;Os05g0186300 (OscytME2);chr05:5293558..5297417 (- strand);Upstream;No
SNP:5:5302781;5;5302781;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;2.90807E-14;-0.170270647;-;-;-;No
SNP:5:5305008;5;5305008;GLM;SVs+SNPs;SNP;1;-;0.472;5.53E-08;0.147636715;-;-;-;No
SNP:5:5310343;5;5310343;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;6.08666E-11;0.155614539;-;-;-;No
DEL:5:5314223..5314764;5;5314223;GLM;SVs, SVs+SNPs;SV;-541;-;0.485;6.53709E-11;-0.150252977;-;-;-;No
SNP:5:5316018;5;5316018;GLM;SNPs, SVs+SNPs;SNP;1;-;0.472;1.32418E-09;0.138901942;-;-;-;No
SNP:5:5321037;5;5321037;GLM;SNPs, SVs+SNPs;SNP;1;-;0.466;9.23E-11;0.121322454;-;-;-;No
INS:5:5321817..5321817;5;5321817;GLM;SVs, SVs+SNPs;SV;219;-;0.485;5.36907E-13;-0.1651161;-;-;-;No
SNP:5:5333043;5;5333043;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;2.03E-12;0.165760932;"Os05g0186900 (OsIAA16/OsDLN134); Os05g0187000 (OsPBB1/PUP1)";"chr05:5329989..5331482 (+ strand); ";"Downstream; Upstream";No
SNP:5:5344015;5;5344015;GLM;SNPs, SVs+SNPs;SNP;1;-;0.472;4.07385E-12;0.158625954;-;-;-;No
DEL:5:5347827..5347905;5;5347827;GLM;SVs, SVs+SNPs;SV;-78;-;0.491;1.26317E-14;-0.177393006;-;-;-;No
SNP:5:5350385;5;5350385;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;5.17E-13;0.16584484;-;-;-;No
SNP:5:5360833;5;5360833;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;4.54648E-13;0.170200664;-;-;-;No
SNP:5:5371529;5;5371529;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;2.3E-14;-0.164971027;-;-;-;No
SNP:5:5377378;5;5377378;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;6.66E-14;0.156766678;-;-;-;No
INS:5:5379433..5379433;5;5379433;GLM, BLINK;SVs, SVs+SNPs;SV;64;-;0.497;1.68E-43;-0.193073296;-;-;-;No
SNP:5:5392530;5;5392530;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;2.07109E-14;-0.174592811;Os05g0187800 (OsDER1);chr05:5394456..5398045 (- strand);Downstream;No
SNP:5:5400006;5;5400006;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;8.33E-11;0.14802828;Os05g0187800 (OsDER1);chr05:5394456..5398045 (- strand);Upstream;No
SNP:5:5412949;5;5412949;GLM;SNPs, SVs+SNPs;SNP;1;-;0.528;1.48E-13;-0.136846146;Os05g0188100 (Conserved hypothetical);chr05:5414839..5415464 (+ strand);Upstream;No
SNP:5:5423029;5;5423029;GLM;SNPs, SVs+SNPs;SNP;1;-;0.472;2.76E-13;-0.163347653;Os05g0188500 (Similar to SCC3);chr05:5424381..5433010 (+ strand);Upstream;No
SNP:5:5433797;5;5433797;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;1.72E-11;-0.158140441;Os05g0188500 (Similar to SCC3);chr05:5424381..5433010 (+ strand);Downstream;No
INS:5:5436378..5436378;5;5436378;GLM;SVs, SVs+SNPs;SV;5271;-;0.491;1.26317E-14;-0.177393006;Os05g0188600 (conserved hypothetical);chr05:5437063..5445076 (+ strand);Upstream;No
DEL:5:5446062..5446154;5;5446062;GLM;SVs, SVs+SNPs;SV;-92;-;0.497;1.24774E-16;-0.193073296;"Os05g0188600 (conserved hypothetical); Os05g0188700 (Leucine-rich repeat domain containing protein); Os05g0188750 (hypothetical)";"chr05:5437063..5445076 (+ strand); chr05:5446772..5448502 (+ strand); chr05:5446884..5447975 (- strand)";"Downstream; Upstream; Downstream";No
SNP:5:5447925;5;5447925;GLM;SNPs, SVs+SNPs;SNP;1;-;0.509;2.26997E-09;-0.133604307;"Os05g0188700 (Leucine-rich repeat domain containing protein); Os05g0188750 (Hypothetical)";"chr05:5446772..5448502 (+strand); chr05:5446884..5447975 (- strand)";"1st exon; 1st exon";No
SNP:5:5453811;5;5453811;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;1.76543E-15;-0.187705863;Os05g0188800 (Similar to H0403D02.13 protein);chr05:5450728..5451973 (+ strand);Downstream;No
INS:5:5456877..5456877;5;5456877;GLM;SVs, SVs+SNPs;SV;54;-;0.38;1.0963E-09;-0.124452793;-;-;-;No
SNP:5:5460130;5;5460130;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;1.72689E-14;-0.183342003;-;-;-;No
SNP:5:5462217;5;5462217;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;1.53E-13;-0.170970914;-;-;-;No
SNP:5:5466433;5;5466433;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;5E-13;0.153933701;-;-;-;No
SNP:5:5470548;5;5470548;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;4.05E-15;-0.16136362;-;-;-;No
DEL:5:5474919..5475193;5;5474919;GLM;SVs, SVs+SNPs;SV;-274;-;0.491;1.26317E-14;-0.177393006;Os05g0189300 (Vegetative storage protein/acid phosphatase domain containing protein);chr05:5472720..5474678 (- strand);Upstream;No
SNP:5:5477563;5;5477563;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;1.3E-13;0.159223847;-;-;-;No
SNP:5:5484437;5;5484437;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;3.84E-11;0.155155662;-;-;-;No
SNP:5:5487270;5;5487270;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;1.62E-09;-0.147703542;Os05g0189425 (Conserved hypothetical);chr05:5488413..5490689 (- strand);Downstream;No
SNP:5:5489378;5;5489378;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;2.77151E-11;0.150499595;Os05g0189425 (Conserved hypothetical);chr05:5488413..5490689 (- strand);2nd intron;No
SNP:5:5490162;5;5490162;GLM;SNPs, SVs+SNPs;SNP;1;-;0.509;2.07E-09;-0.141549551;Os05g0189425 (Conserved hypothetical);chr05:5488413..5490689 (- strand);1st intron;No
SNP:5:5501438;5;5501438;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;4.2E-16;0.186110322;-;-;-;No
DEL:5:5501549..5501591;5;5501549;GLM;SVs, SVs+SNPs;SV;-42;-;0.558;3.18016E-10;0.150139264;-;-;-;No
INS:5:5507678..5507678;5;5507678;GLM;SVs, SVs+SNPs;SV;48;-;0.503;1.46556E-16;-0.19075548;Os05g0189900 (Vegetative storage protein/acid phosphatase domain containing protein);chr05:5508436..5510290 (- strand);Downstream;No
SNP:5:5508449;5;5508449;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;9.24E-11;0.161829178;Os05g0189900 (Vegetative storage protein/acid phosphatase domain containing protein);chr05:5508436..5510290 (- strand);3' UTR;No
INS:5:5511123..5511123;5;5511123;GLM;SVs, SVs+SNPs;SV;95;-;0.491;6.00357E-16;-0.189951248;"Os05g0189900 (Vegetative storage protein/acid phosphatase domain containing protein); Os05g0190000 (hypothetical)";"chr05:5508436..5510290 (- strand); chr05:5511881..5512895 (- strand)";"Upstream; Downstream";No
SNP:5:5514107;5;5514107;GLM;SNPs;SNP;1;-;0.491;1.83819E-07;0.114177801;Os05g0190000 (Hypothetical);chr05:5511881..5512895 (- strand);Upstream;No
DEL:5:5517534..5517659;5;5517534;GLM;SVs, SVs+SNPs;SV;-125;-;0.503;7.17699E-16;0.187519004;-;-;-;No
SNP:5:5517822;5;5517822;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;1.47E-12;-0.170122085;-;-;-;No
SNP:5:5520477;5;5520477;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;4.32E-12;-0.143593541;-;-;-;No
INS:5:5524589..5524589;5;5524589;GLM;SVs, SVs+SNPs;SV;31416;-;0.491;6.00357E-16;-0.189951248;-;-;-;No
INS:5:5528123..5528123;5;5528123;GLM;SVs, SVs+SNPs;SV;51;-;0.491;6.00357E-16;-0.189951248;-;-;-;No
SNP:5:5530427;5;5530427;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;2.68E-13;-0.15323884;-;-;-;No
SNP:5:5539259;5;5539259;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;3.25679E-14;0.17307897;-;-;-;No
SNP:5:5541828;5;5541828;GLM;SNPs;SNP;1;-;0.337;8.40951E-08;-0.119677504;-;-;-;No
SNP:5:5542592;5;5542592;GLM;SNPs, SVs+SNPs;SNP;1;-;0.472;1.47692E-13;-0.172594281;-;-;-;No
SNP:5:5544438;5;5544438;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;8.03E-15;-0.160378891;-;-;-;No
INS:5:5547571..5547571;5;5547571;GLM;SVs, SVs+SNPs;SV;391;Os0098;0.497;4.16906E-12;-0.161798135;-;-;-;No
SNP:5:5585896;5;5585896;GLM;SNPs, SVs+SNPs;SNP;1;-;0.472;5.52468E-14;-0.170812535;-;-;-;No
SNP:5:5593003;5;5593003;GLM;SNPs, SVs+SNPs;SNP;1;-;0.472;4.1393E-12;-0.1474471;-;-;-;No
SNP:5:5600645;5;5600645;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;3.14915E-12;-0.16030881;-;-;-;No
SNP:5:5604329;5;5604329;GLM;SNPs, SVs+SNPs;SNP;1;-;0.472;2.38E-13;-0.155761166;-;-;-;No
DEL:5:5606730..5606782;5;5606730;GLM;SVs, SVs+SNPs;SV;-52;-;0.485;5.07293E-14;-0.174297319;-;-;-;No
SNP:5:5608910;5;5608910;GLM;SNPs, SVs+SNPs;SNP;1;-;0.472;3.29518E-14;-0.174784556;-;-;-;No
SNP:5:5615936;5;5615936;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;4.16957E-12;-0.165373764;-;-;-;No
SNP:5:5618766;5;5618766;GLM;SNPs, SVs+SNPs;SNP;1;-;0.476;2.32E-13;-0.161555224;-;-;-;No
SNP:5:5646699;5;5646699;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;4.91708E-11;0.147223615;-;-;-;No
SNP:5:5650843;5;5650843;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;6.4E-15;-0.146531882;Os05g0192100 (Similar to Stem 28 kDa glycoprotein);chr05:5652659..5654777 (- strand);Downstream;No
SNP:5:5656928;5;5656928;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;3.87487E-11;-0.157185375;-;-;-;No
SNP:5:5672429;5;5672429;GLM;SNPs, SVs+SNPs;SNP;1;-;0.476;3.47629E-14;-0.172627821;Os05g0192700 (Conserved hypothetical);chr05:5673470..5674010 (+ strand);Upstream;No
DEL:5:5675964..5676214;5;5675964;GLM;SVs, SVs+SNPs;SV;-250;Os0018_Wanderer;0.491;6.00357E-16;-0.189951248;"Os05g0192700 (conserved hypothetical); Os05g0192500 (conserved hypothetical)";"chr05:5673470..5674010 (+ strand); chr05:5678183..5678671 (- strand)";"Downstream; Downstream";No
INS:5:5677271..5677271;5;5677271;GLM;SVs, SVs+SNPs;SV;436;Os0030_LTR_RIRE2;0.491;6.00357E-16;-0.189951248;Os05g0192500 (conserved hypothetical);chr05:5678183..5678671 (- strand);Downstream;No
SNP:5:5677964;5;5677964;GLM;SNPs, SVs+SNPs;SNP;1;-;0.46;1.50924E-12;-0.169952883;Os05g0192500 (Conserved hypothetical);chr05:5678183..5678671 (- strand);Downstream;No
INS:5:5678604..5678604;5;5678604;GLM;SVs, SVs+SNPs;SV;172;-;0.491;6.00357E-16;-0.189951248;Os05g0192500 (conserved hypothetical);chr05:5678183..5678671 (- strand);1st exon;No
SNP:5:5683266;5;5683266;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;6.05E-10;-0.155155506;-;-;-;No
INS:5:5697167..5697167;5;5697167;GLM;SVs, SVs+SNPs;SV;277;Os3538_LTR;0.491;6.00357E-16;-0.189951248;-;-;-;No
SNP:5:5697930;5;5697930;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;9.90295E-10;-0.15343269;-;-;-;No
DEL:5:5699823..5699930;5;5699823;GLM;SVs, SVs+SNPs;SV;-107;-;0.497;6.63577E-15;-0.180048319;-;-;-;No
DEL:5:5700277..5700516;5;5700277;GLM;SVs, SVs+SNPs;SV;-239;Os0003;0.515;1.85764E-14;-0.176327796;-;-;-;No
DEL:5:5702307..5703147;5;5702307;GLM;SVs, SVs+SNPs;SV;-840;Os1635;0.491;6.00357E-16;-0.189951248;-;-;-;No
SNP:5:5752155;5;5752155;GLM;SNPs, SVs+SNPs;SNP;1;-;0.472;2.25E-08;-0.166683006;Os05g0193800 (Conserved hypothetical);chr05:5749607..5750937 (+ strand);Downstream;No
INS:5:5757459..5757459;5;5757459;GLM;SVs, SVs+SNPs;SV;79;-;0.491;6.00357E-16;-0.189951248;Os05g0193900 (conserved hypothetical);chr05:5756504..5760603 (- strand);7th intron;No
INS:5:5757968..5757968;5;5757968;GLM;SVs, SVs+SNPs;SV;135;Os0299;0.491;6.00357E-16;-0.189951248;Os05g0193900 (conserved hypothetical);chr05:5756504..5760603 (- strand);7th intron;No
SNP:5:5760560;5;5760560;GLM;SNPs, SVs+SNPs;SNP;1;-;0.509;4.62E-11;0.162464069;Os05g0193900 (Conserved hypothetical);chr05:5756504..5760603 (- strand);1st exon;No
INS:5:5762839..5762839;5;5762839;GLM;SVs, SVs+SNPs;SV;58;-;0.491;6.00357E-16;-0.189951248;Os05g0194000 (Similar to CRS2-associated factor 2);chr05:5763848..5767422 (+ strand);Upstream;No
INS:5:5763310..5763310;5;5763310;GLM;SVs, SVs+SNPs;SV;308;-;0.442;1.25364E-11;-0.14720042;Os05g0194000 (Similar to CRS2-associated factor 2);chr05:5763848..5767422 (+ strand);Upstream;No
SNP:5:5764610;5;5764610;GLM;SNPs, SVs+SNPs;SNP;1;-;0.509;7.57056E-13;-0.168121743;Os05g0194000 (Similar to CRS2-associated factor 2, chloroplastic precursor);chr05:5763848..5767422 (+ strand);2nd intron;No
INS:5:5766646..5766646;5;5766646;GLM;SVs, SVs+SNPs;SV;2964;Os0366_LTR_Truncator;0.491;6.00357E-16;-0.189951248;Os05g0194000 (Similar to CRS2-associated factor 2);chr05:5763848..5767422 (+ strand);3' UTR;No
INS:5:5783079..5783079;5;5783079;GLM;SVs+SNPs;SV;6313;Os0028_INT;0.442;1.85806E-07;-0.121544712;Os05g0194500 (NAC85);chr05:5784144..5789558 (- strand);Downstream;No
DEL:5:5783796..5783867;5;5783796;GLM;SVs, SVs+SNPs;SV;-71;-;0.491;6.00357E-16;-0.189951248;Os05g0194500 (NAC85);chr05:5784144..5789558 (- strand);Downstream;No
SNP:5:5791793;5;5791793;GLM;SNPs, SVs+SNPs;SNP;1;-;0.509;1.25E-11;0.16183682;"Os05g0194550 (Conserved hypothetical); Os05g0194600 (Peptidase M22)";"chr05:5790217..5791479 (+ strand); chr05:5791922..5797158 (- strand)";"Downstream; Downstream";No
SNP:5:5802034;5;5802034;GLM;SNPs, SVs+SNPs;SNP;1;-;0.491;1.69247E-14;0.177760949;-;-;-;No
SNP:5:5811512;5;5811512;GLM;SNPs, SVs+SNPs;SNP;1;-;0.466;1.91E-13;-0.170156242;-;-;-;No
SNP:5:5816529;5;5816529;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;7.83E-10;0.141806971;Os05g0194900 (OsPPi-PFK/OsPFK04);chr05:5814320..5815467 (+ strand);Downstream;No
INS:5:5817447..5817447;5;5817447;GLM;SVs, SVs+SNPs;SV;2723;-;0.491;6.00357E-16;-0.189951248;Os05g0194900 (OsPPi-PFK/OsPFK04);chr05:5814320..5815467 (+ strand);Downstream;No
SNP:5:5825557;5;5825557;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;2.01E-15;-0.160537273;-;-;-;No
SNP:5:5840633;5;5840633;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;5.27558E-11;-0.148144961;-;-;-;No
SNP:5:5844794;5;5844794;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;1.49E-15;-0.167002992;Os05g0195200 (OsC3H35/OsTZF1);chr05:5846703..5848186 (- strand);Downstream;No
DEL:5:5850717..5851831;5;5850717;GLM;SVs, SVs+SNPs;SV;-1114;Os0016_LTR;0.497;6.00357E-16;-0.189951248;-;-;-;No
SNP:5:5852604;5;5852604;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;5.15E-12;0.176056023;-;-;-;No
SNP:5:5859401;5;5859401;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;2.53907E-11;-0.152749439;-;-;-;No
DEL:5:5875118..5875224;5;5875118;GLM;SVs, SVs+SNPs;SV;-106;-;0.491;6.00357E-16;-0.189951248;Os05g0195700 (similar to Transcription factor MYBS2);chr05:5870175..5873986 (- strand);Upstream;No
SNP:5:5875623;5;5875623;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;2.31125E-11;-0.159849337;Os05g0195700 (Similar to Transcription factor MYBS2);chr05:5870175..5873986 (- strand);Upstream;No
DEL:5:5877973..5878031;5;5877973;GLM;SVs, SVs+SNPs;SV;-58;-;0.583;2.7525E-07;-0.105173166;-;-;-;No
DEL:5:5878649..5878707;5;5878649;GLM;SVs, SVs+SNPs;SV;-58;-;0.503;7.79248E-14;-0.171043155;-;-;-;No
DEL:5:5884011..5884076;5;5884011;GLM;SVs, SVs+SNPs;SV;-65;-;0.491;6.00357E-16;-0.189951248;-;-;-;No
SNP:5:5888135;5;5888135;GLM;SNPs, SVs+SNPs;SNP;1;-;0.509;2.33E-15;-0.163995452;-;-;-;No
SNP:5:5889843;5;5889843;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;2.32259E-13;-0.167271343;-;-;-;No
SNP:5:5895369;5;5895369;GLM;SNPs, SVs+SNPs;SNP;1;-;0.503;4.4376E-11;0.156721218;-;-;-;No
SNP:5:5903837;5;5903837;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;3.85368E-14;0.177353059;-;-;-;No
SNP:5:5917606;5;5917606;GLM;SNPs, SVs+SNPs;SNP;1;-;0.485;1.15832E-09;0.152788773;Os05g0196200 (Similar to Pollen-specific protein SF21);chr05:5914193..5916931 (- strand);Upstream;No
DEL:5:5918391..5918455;5;5918391;GLM;SVs, SVs+SNPs;SV;-64;-;0.503;8.26419E-14;0.174661153;Os05g0196200 (similar to SF21);chr05:5914193..5916931 (- strand);Upstream;No
SNP:5:5924412;5;5924412;GLM;SNPs, SVs+SNPs;SNP;1;-;0.509;2.74776E-09;0.143704918;-;-;-;No
INS:5:5926484..5926484;5;5926484;GLM;SVs, SVs+SNPs;SV;115;-;0.491;6.00357E-16;-0.189951248;Os05g0196400 (conserved hypothetical);chr05:5927515..5929945 (- strand);Downstream;No
