Variant ID;Chromosome;Position;Detection method;Data set;Variant type;Length (bp);TE;Frequency;P-value*;Effect+;Gene(s) in 2 Kb proximity;Gene(s) coordiantes;Position(s) respect the gene(s);Overlapping Related QTL in SNP-seek
SNP:8:8996411;8;8996411;BLINK;SNPs, SVs+SNPs;SNP;1;-;0.294;5.6E-27;-;-;-;-;Yes
DEL:8:10129764..10130047;8;10129764;GLM;SVs;SV;-283;-;0.307;0.000000914;-3.88;Os08g0266200 (Similar to T24D18.25 protein);chr08:10131802..10135064 (+ strand);Upstream;Yes
INS:8:19628310..19628310;8;19628310;GLM;SVs;SV;11334;Os0030_INT_RIRE2;0.472;0.00000114;-3.62;-;-;-;Yes
SNP:8:19932446;8;19932446;GLM;SVs+SNPs;SNP;1;-;0.067;2.4E-09;7.75;-;-;-;Yes
DEL:8:20282146..20282192;8;20282146;GLM;SVs;SV;-46;-;0.074;0.00000003;7.26;Os08g0423500 (OsalphaCA3);chr08:20283075..20285185 (+ strand);Upstream;Yes
SNP:8:20388828;8;20388828;GLM;SVs+SNPs;SNP;1;-;0.074;6.52E-08;7.08;"Os08g0424600 (Hypothetical); Os08g0424700 (Nucleotide-binding LRR receptor (NLR) family protein)";"chr08:20388591..20399390 (-strand); chr08:20389286..20392891 (+strand)";"3' UTR; Upstream";Yes
SNP:8:20438839;8;20438839;GLM;SVs+SNPs;SNP;1;-;0.068;6.52E-08;7.08;-;-;-;Yes
SNP:8:20483922;8;20483922;GLM;SNPs, SVs+SNPs;SNP;1;-;0.079;6.85E-09;7.43;-;-;-;Yes
SNP:8:20496427;8;20496427;GLM;SVs+SNPs;SNP;1;-;0.074;0.000000066;6.33;-;-;-;Yes
SNP:8:20829537;8;20829537;GLM;SNPs;SNP;1;-;0.086;6.85E-09;7.21;Os08g0430800 (Conserved hypothetical);chr08:20828249..20831334 (+strand);1st intron;Yes
SNP:8:20880629;8;20880629;GLM;SNPs, SVs+SNPs;SNP;1;-;0.08;4.48E-09;7.26;-;-;-;Yes
SNP:8:24027654;8;24027654;GLM;SNPs, SVs+SNPs;SNP;1;-;0.074;5.85E-08;7.71;Os08g0485900 (Haloacid dehalogenase-like hydrolase domain containing protein);chr08:24023544..24027173 (-strand);Upstream;Yes
INS:8:24525465..24525465;8;24525465;GLM, BLINK;SVs;SV;82;-;0.08;2.41E-14;7.9;-;-;-;Yes
SNP:8:27824797;8;27824797;GLM;SVs+SNPs;SNP;1;-;0.074;0.000000203;6.83;"Os08g0556000 (OsECT5); Os08g0556050 (Hypothetical)";"chr08:27825033..27830293 (-strand); chr08:27825716..27826467 (+strand)";"Downstram; Upstream";No
SNP:9:714280;9;714280;BLINK;SNPs;SNP;1;-;0.123;3.96E-08;-;-;-;-;No
SNP:9:13680891;9;13680891;BLINK;SNPs;SNP;1;-;0.031;3.09E-13;-;-;-;-;No
SNP:10:4019912;10;4019912;BLINK;SVs+SNPs;SNP;1;-;0.043;4.99E-17;-;-;-;-;No
SNP:10:4761495;10;4761495;BLINK;SVs+SNPs;SNP;1;-;0.049;3.99E-12;-;-;-;-;No
INS:10:7831152..7831152;10;7831152;GLM;SVs;SV;105;-;0.031;0.000000126;9.74;-;-;-;No
SNP:10:14288764;10;14288764;BLINK;SVs+SNPs;SNP;1;-;0.129;0.000000159;-;"Os10g0411100 (DUF 620); Os10g0411200 (Hypothetical)";"chr10:14289311..14293647 (-strand); chr10:14289585..14293304 (+strand)";"Downstream; Upstream";No
SNP:10:17601825;10;17601825;GLM;SNPs;SNP;1;-;0.098;0.000000143;6.29;"Os10g0473800 (Similar to protoporphyrinogen IX oxidase (plastidic)1); Os10g0473875 (Hypothetical)";"chr10:17600624..17601905 (+strand); chr10:17601191..17601517 (-strand)";"3' UTR; Upstream";Yes
SNP:10:17622324;10;17622324;GLM;SNPs, SVs+SNPs;SNP;1;-;0.067;1.31E-08;7.04;"Os10g0474100 (Similar to GMC oxidoreductase family protein); Os10g0474900 (Similar to GMC oxidoreductase family protein)";"chr10:17619188..17621032 (-strand); chr10:17622278..17623669 (-strand)";"Upstream; 2nd exon";Yes
SNP:10:17923788;10;17923788;BLINK;SVs+SNPs;SNP;1;-;0.098;4.53E-11;-;"Os10g0478300 (OsMyb9/OsMyb8/OsMYB110); Os10g0478350 (Hypothetical)";"chr10:17923596..17926286 (-strand); chr10:17923858..17924449 (+strand)";"3' UTR; Upstream";No
SNP:11:13216825;11;13216825;GLM;SNPs;SNP;1;-;0.037;0.000000056;-8.76;Os11g0422100 (Hypothetical);chr11:13215413..13217278 (+strand);1st intron;No
SNP:11:19579068;11;19579068;GLM;SVs+SNPs;SNP;1;-;0.043;0.000000211;-7.87;Os11g0537300 (Similar to DedA);chr11:19580306..19585480 (+strand);Upstream;No
SNP:11:22476636;11;22476636;BLINK;SVs+SNPs;SNP;1;-;0.092;0.000000308;-;-;-;-;No
SNP:11:24705638;11;24705638;GLM, BLINK;SNPs, SVs+SNPs;SNP;1;-;0.049;2.77E-17;-8.14;-;-;-;No
SNP:11:25990815;11;25990815;BLINK;SNPs;SNP;1;-;0.233;1.21E-10;-;-;-;-;No
SNP:11:26486825;11;26486825;GLM;SNPs;SNP;1;-;0.031;0.000000312;-8.02;Os11g0660000 (OsMHX2/OsNCX14);chr11:26488399..26492363 (-strand);Downstream;No
DEL:12:3285783..3286216;12;3285783;GLM;SVs, SVs+SNPs;SV;-433;Os0625_mPing;0.122;3.25E-10;6.92;-;-;-;No
SNP:12:19400616;12;19400616;GLM;SNPs, SVs+SNPs;SNP;1;-;0.031;0.0000002;8.9;-;-;-;No
SNP:12:22721675;12;22721675;GLM;SNPs, SVs+SNPs;SNP;1;-;0.037;0.000000156;-9.01;Os12g0557800 (Pentatricopeptide repeat domain containing protein);chr12:22723146..22726841 (-strand);Downstream;No
SNP:12:27151552;12;27151552;GLM, BLINK;SNPs, SVs+SNPs;SNP;1;-;0.073;9.83E-15;7.86;Os12g0633501 (Similar to MYB36);chr12:27151981..27152307 (+strand);Upstream;No
