Variant ID;Chromosome;Position;Detection method;Data set;Variant type;Length (bp);TE;Frequency;P-value*;Effect+;Gene(s) in 2 Kb proximity;Gene(s) coordiantes;Position(s) respect the gene(s);Overlapping Related QTL in SNP-seek
SNP:5:6157347;5;6157347;GLM;SVs+SNPs;SNP;1;-;0.037;2.16E-08;16.76;Os05g0198950 (hypothetical);chr05:6157753..6158446 (- strand);Downstream;No
INS:5:6158853..6158853;5;6158853;GLM;SVs;SV;972;Os0076_LTR;0.031;4.05E-09;18.29;Os05g0198950 (hypothetical);chr05:6157753..6158446 (- strand);Upstream;No
SNP:5:6179770;5;6179770;GLM, BLINK;SNPs, SVs+SNPs;SNP;1;-;0.035;7.13E-09;16.87;-;-;-;No
SNP:5:6552155;5;6552155;GLM;SNPs, SVs+SNPs;SNP;1;-;0.031;0.000000285;16.87;-;-;-;No
SNP:5:6562843;5;6562843;GLM;SNPs, SVs+SNPs;SNP;1;-;0.037;0.000000196;16.87;-;-;-;No
SNP:6:22794821;6;22794821;GLM;SVs+SNPs;SNP;1;-;0.037;0.000000212;15.12;Os06g0583400 (OsHDAC1/HDA702);chr06:22794359..22800197 (- strand);3' UTR;Yes
SNP:6:22796376;6;22796376;BLINK;SVs+SNPs;SNP;1;-;0.043;4.61E-09;-;Os06g0583400 (OsHDAC1/HDA702);chr06:22794359..22800197 (- strand);5th intron;Yes
INS:6:23064361..23064361;6;23064361;GLM;SVs;SV;59;-;0.043;0.000000792;13.22;-;-;-;Yes
SNP:6:23303129;6;23303129;BLINK;SVs+SNPs;SNP;1;-;0.491;6.84E-09;-;Os06g0593100 (Similar to UDP-galactose/UDP-glucose transporter);chr06:23303671..23306966 (+ strand);Upstream;Yes
INS:6:24739011..24739011;6;24739011;GLM;SVs;SV;258;-;0.074;0.000000979;10.8;-;-;-;Yes
INS:7:4549785..4549785;7;4549785;GLM, BLINK;SVs, SVs+SNPs;SV;5711;Os0156_INT;0.061;3.25E-20;13.15;Os07g0185700 (Conserved hypothetical);chr07:4544924..4552953 (+ strand);7th intron;No
SNP:7:19269302;7;19269302;Blink;SNPs;SNP;1;-;0.037;2.33E-08;-;Os07g0507300 (Similar to GCK-like kinase MIK);chr07:19258741..19268283 (- strand);Upstream;No
SNP:8:22899140;8;22899140;BLINK;SVs+SNPs;SNP;1;-;0.043;1.07E-08;-;-;-;-;No
SNP:9:15745613;9;15745613;GLM;SNPs;SNP;1;-;0.055;0.00000016;12.52;-;-;-;No
SNP:9:15861605;9;15861605;GLM;SVs+SNPs;SNP;1;-;0.055;0.000000271;12.97;Os09g0432231 (Similar to Cold-regulated protein);chr09:15862551..15863211 (- strand);Downstream;No
SNP:9:15920157;9;15920157;GLM;SNPs, SVs+SNPs;SNP;1;-;0.049;0.000000304;13.08;Os09g0433700 (OsPME27);chr09:15921631..15924038 (- strand);Downstream;No
SNP:9:16300567;9;16300567;GLM;SNPs, SVs+SNPs;SNP;1;-;0.067;5.39E-09;13.05;Os09g0439700 (transmembrane receptor);chr09:16300797..16304847 (- strand);Downstream;No
SNP:10:1385301;10;1385301;GLM;SNPs, SVs+SNPs;SNP;1;-;0.061;0.000000251;12.48;-;-;-;No
SNP:10:17603484;10;17603484;BLINK;SVs+SNPs;SNP;1;-;0.319;1.47E-13;-;-;-;-;No
INS:12:23143529..23143529;12;23143529;Blink;SVs;SV;47;-;0.245;2.45E-08;-;-;-;-;No
